TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME	DATA_TYPE	IS_NULLABLE	ORDINAL_POSITION
CoreStaging	vwCalumoBudget	dateKey	int	YES	1
CoreStaging	vwCalumoBudget	AccountKey	smallint	YES	2
CoreStaging	vwCalumoBudget	officeKey	smallint	YES	3
CoreStaging	vwCalumoBudget	profKey	smallint	YES	4
CoreStaging	vwCalumoBudget	PersonKey	smallint	YES	5
CoreStaging	vwCalumoBudget	CurrencyKey	smallint	YES	6
CoreStaging	vwCalumoBudget	rankkey	smallint	YES	7
CoreStaging	vwCalumoBudget	amount	decimal	YES	8
CoreStaging	vwCalumoDimDate	date	date	YES	1
CoreStaging	vwCalumoDimDate	dateKey	int	YES	2
CoreStaging	vwCalumoDimDate	dateDesc	varchar	YES	3
CoreStaging	vwCalumoDimDate	year	int	YES	4
CoreStaging	vwCalumoDimDate	yearMonth	int	YES	5
CoreStaging	vwCalumoDimDate	yearMonthDesc	varchar	YES	6
CoreStaging	vwCalumoDimDate	yearQuarter	int	YES	7
CoreStaging	vwCalumoDimDate	yearQuarterDesc	varchar	YES	8
CoreStaging	vwCalumoDimDate	fiscalYear	int	YES	9
CoreStaging	vwCalumoDimDate	fiscalYearDesc	varchar	YES	10
CoreStaging	vwCalumoDimDate	fiscalYearQuarter	varchar	YES	11
CoreStaging	vwCalumoDimDate	fbtYear	int	YES	12
CoreStaging	vwCalumoDimDate	fbtYearDesc	varchar	YES	13
CoreStaging	vwCalumoDimDate	monthOfYear	int	YES	14
CoreStaging	vwCalumoDimDate	monthOfYearDesc	varchar	YES	15
CoreStaging	vwCalumoDimDate	daysInMonth	int	YES	16
CoreStaging	vwCalumoDimDate	dayOfMonth	int	YES	17
CoreStaging	vwCalumoDimDate	dayOfWeek	int	YES	18
CoreStaging	vwCalumoDimDate	dayOfWeekDesc	varchar	YES	19
CoreStaging	vwCalumoDimDate	dayOfWeekType	varchar	YES	20
CoreStaging	vwCalumoDimDate	weekOfYear	int	YES	21
CoreStaging	vwCalumoDimDate	yearWeek	int	YES	22
CoreStaging	vwCalumoDimDate	yearWeekDesc	varchar	YES	23
CoreStaging	vwCalumoDimDate	serialDate	int	YES	24
CoreStaging	vwCalumoDimDate	workDay	int	YES	25
CoreStaging	vwCalumoDimDate	dateStatus	varchar	YES	26
CoreStaging	vwCalumoDimDate	yearMonthCount	int	YES	27
CoreStaging	vwCalumoDimDate	lastDayOfMonth	bit	YES	28
CoreStaging	vwCalumoDimDate	workDaysInMonth	int	YES	29
CoreStaging	vwCalumoDimDate	weekRange	int	YES	30
CoreStaging	vwCalumoDimDate	weekRangeDesc	varchar	YES	31
CoreStaging	vwCalumoDimOffice	city	varchar	YES	1
CoreStaging	vwCalumoDimOffice	company_code	varchar	YES	2
CoreStaging	vwCalumoDimOffice	Company_name	varchar	YES	3
CoreStaging	vwCalumoDimOffice	companyKey	int	YES	4
CoreStaging	vwCalumoDimOffice	companyStatus	varchar	YES	5
CoreStaging	vwCalumoDimOffice	country_code	varchar	YES	6
CoreStaging	vwCalumoDimOffice	currency_code	varchar	YES	7
CoreStaging	vwCalumoDimOffice	currencyKey	smallint	YES	8
CoreStaging	vwCalumoDimOffice	hldy_group_code	varchar	YES	9
CoreStaging	vwCalumoDimOffice	locationCode	varchar	YES	10
CoreStaging	vwCalumoDimOffice	offc_code	varchar	YES	11
CoreStaging	vwCalumoDimOffice	status	smallint	YES	12
CoreStaging	vwCalumoDimProf	depttype	varchar	YES	1
CoreStaging	vwCalumoDimProf	practice_group_code	varchar	YES	2
CoreStaging	vwCalumoDimProf	prof_ctr_code	varchar	YES	3
